yabA	GO:0032297	negative regulation of DNA-dependent DNA replication initiation
yabA	GO:0042802	identical protein binding
yabA	GO:0051289	protein homotetramerization
yabC	GO:0005737	cytoplasm
yabC	GO:0006364	rRNA processing
yabC	GO:0008152	metabolic process
yabC	GO:0008168	methyltransferase activity
yabC	GO:0016740	transferase activity
yabC	GO:0032259	methylation
abrB	GO:0003677	DNA binding
abrB	GO:0006351	transcription, DNA-templated
abrB	GO:0006355	regulation of transcription, DNA-templated
abrB	GO:0030435	sporulation resulting in formation of a cellular spore
abrB	GO:0043937	regulation of sporulation
metS	GO:0000049	tRNA binding
metS	GO:0000166	nucleotide binding
metS	GO:0003723	RNA binding
metS	GO:0004812	aminoacyl-tRNA ligase activity
metS	GO:0004825	methionine-tRNA ligase activity
metS	GO:0005524	ATP binding
metS	GO:0005737	cytoplasm
metS	GO:0006412	translation
metS	GO:0006418	tRNA aminoacylation for protein translation
metS	GO:0006431	methionyl-tRNA aminoacylation
metS	GO:0016874	ligase activity
yabD	GO:0000737	DNA catabolic process, endonucleolytic
yabD	GO:0004518	nuclease activity
yabD	GO:0008152	metabolic process
yabD	GO:0016787	hydrolase activity
yabD	GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
yabD	GO:0046872	metal ion binding
yabD	GO:0090305	nucleic acid phosphodiester bond hydrolysis
yabE	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
yabE	GO:0009254	peptidoglycan turnover
yabE	GO:0019867	outer membrane
rnmV	GO:0000287	magnesium ion binding
rnmV	GO:0003723	RNA binding
rnmV	GO:0004518	nuclease activity
rnmV	GO:0004519	endonuclease activity
rnmV	GO:0005737	cytoplasm
rnmV	GO:0006364	rRNA processing
rnmV	GO:0016787	hydrolase activity
rnmV	GO:0019843	rRNA binding
rnmV	GO:0042254	ribosome biogenesis
rnmV	GO:0043822	ribonuclease M5 activity
rnmV	GO:0046872	metal ion binding
rnmV	GO:0090305	nucleic acid phosphodiester bond hydrolysis
rnmV	GO:0090501	RNA phosphodiester bond hydrolysis
